,sum,mean,median
,us_viewers_in_millions,us_viewers_in_millions,us_viewers_in_millions
season,,,
1,361.5,27.807692307692307,27.5
2,536.9,24.404545454545453,25.1
3,522.4,21.766666666666666,22.35
4,492.7,22.395454545454545,22.95
5,416.7,18.94090909090909,19.6
6,389.9,15.595999999999998,15.1
7,366.49999999999994,14.659999999999998,14.6
8,321.2,14.6,14.35
9,250.2,10.008,9.6
10,200.96,8.737391304347826,8.3
11,192.99,8.772272727272728,8.735
12,325.2,15.485714285714286,15.4
13,274.19999999999993,12.463636363636361,12.45
14,316.32000000000005,14.37818181818182,13.42
15,241.71999999999994,10.987272727272725,10.649999999999999
16,217.83999999999995,10.373333333333331,10.05
17,210.06999999999994,9.54863636363636,9.754999999999999
18,201.29000000000002,9.149545454545455,8.97
19,165.60999999999999,8.2805,7.994999999999999
20,148.48,7.07047619047619,6.52
21,164.1,7.134782608695652,6.08
22,156.03,7.092272727272728,6.484999999999999
23,135.26000000000002,6.148181818181819,5.43
24,119.05999999999999,5.411818181818181,4.869999999999999
25,110.41999999999997,5.019090909090908,4.140000000000001
26,105.69999999999999,4.804545454545454,3.8600000000000003
27,88.01,4.000454545454546,3.295
28,3.36,3.36,3.36
